District,Change in overall poverty,Change in child poverty,Change in young child poverty,Change in overall deep poverty,Change in child deep poverty,Change in young child deep poverty,Population,Child population,Young child population,Original overall poverty rate,Original child poverty rate,Original young child poverty rate,Reform overall poverty rate,Reform child poverty rate,Reform young child poverty rate,Original overall deep poverty rate,Original child deep poverty rate,Original young child deep poverty rate,Reform overall deep poverty rate,Reform child deep poverty rate,Reform young child deep poverty rate
Maryland,-0.098,-0.207,-0.201,-0.07400000000000001,-0.191,-0.237,"6,319,406","1,390,540","376,011",0.12539999999999998,0.1483,0.1585,0.1131,0.1175,0.1266,0.040999999999999995,0.0383,0.0355,0.038,0.031,0.0271
1,-0.121,-0.293,-0.5529999999999999,0.0,0.0,0.0,"114,171","21,238","5,578",0.1109,0.1101,0.1592,0.0975,0.07780000000000001,0.0711,0.0414,0.0421,0.013999999999999999,0.0414,0.0421,0.013999999999999999
2,-0.182,-0.34,-0.6629999999999999,0.0,0.0,0.0,"133,897","29,705","7,835",0.09380000000000001,0.09820000000000001,0.0653,0.0767,0.0649,0.022000000000000002,0.032,0.0323,0.015700000000000002,0.032,0.0323,0.015700000000000002
3,-0.114,-0.24,-0.094,-0.011000000000000001,-0.037000000000000005,0.0,"140,519","30,562","8,475",0.1101,0.1321,0.1464,0.0975,0.10039999999999999,0.1326,0.0318,0.0298,0.022000000000000002,0.0315,0.0287,0.022000000000000002
4,-0.052000000000000005,-0.11699999999999999,-0.042,-0.069,-0.204,-0.017,"148,118","34,677","8,386",0.08839999999999999,0.0788,0.1027,0.08380000000000001,0.0696,0.0983,0.0263,0.026000000000000002,0.026099999999999998,0.0245,0.0207,0.025699999999999997
5,-0.139,-0.32299999999999995,-0.48700000000000004,-0.078,-0.247,-0.48,"137,094","28,591","6,856",0.0691,0.0766,0.063,0.059500000000000004,0.0518,0.032400000000000005,0.021400000000000002,0.0216,0.011399999999999999,0.0197,0.016200000000000003,0.0059
6,-0.076,-0.028999999999999998,0.0,-0.16699999999999998,-0.3,-0.114,"125,612","26,628","6,496",0.1517,0.1416,0.096,0.1402,0.1375,0.096,0.0542,0.0738,0.0369,0.0451,0.051699999999999996,0.0327
7,-0.009000000000000001,-0.008,-0.015,-0.055999999999999994,-0.16399999999999998,-0.243,"141,761","29,232","7,021",0.09179999999999999,0.1041,0.1882,0.091,0.1033,0.18530000000000002,0.030899999999999997,0.0259,0.059500000000000004,0.0291,0.0216,0.045
8,0.0,0.0,0.0,-0.073,-0.29100000000000004,-0.33799999999999997,"131,122","27,580","8,905",0.1439,0.1557,0.3223,0.1439,0.1557,0.3223,0.0603,0.0438,0.0695,0.0559,0.0311,0.046
9,-0.042,-0.09,-0.16899999999999998,-0.015,-0.059000000000000004,-0.08900000000000001,"151,926","35,148","8,316",0.0737,0.0775,0.0441,0.0706,0.0705,0.036699999999999997,0.0207,0.015,0.0104,0.0204,0.0141,0.0095
10,-0.248,-0.377,-0.36200000000000004,-0.15,-0.311,-1.0,"130,560","29,765","8,255",0.1518,0.1671,0.1648,0.11410000000000001,0.1042,0.1051,0.0346,0.0359,0.013500000000000002,0.0294,0.024700000000000003,0.0
11,-0.114,-0.195,-0.221,-0.098,-0.327,-1.0,"133,964","29,445","6,855",0.10980000000000001,0.10980000000000001,0.1036,0.0973,0.08839999999999999,0.08070000000000001,0.0332,0.0232,0.0137,0.03,0.015600000000000001,0.0
12,-0.133,-0.384,-0.7240000000000001,-0.1,-0.29600000000000004,0.0,"130,908","30,119","8,140",0.0913,0.09119999999999999,0.10980000000000001,0.0791,0.0562,0.030299999999999997,0.0333,0.0113,0.006999999999999999,0.029900000000000003,0.0079,0.006999999999999999
13,-0.062,-0.141,-0.09699999999999999,0.0,0.0,0.0,"148,746","36,389","9,944",0.08,0.071,0.0709,0.0751,0.061,0.064,0.0277,0.0124,0.0254,0.0277,0.0124,0.0254
14,-0.061,-0.10300000000000001,-0.09,-0.098,-0.28800000000000003,-0.447,"141,946","34,745","8,938",0.111,0.1373,0.2121,0.1042,0.1233,0.193,0.031,0.0194,0.0241,0.0279,0.0138,0.013300000000000001
15,-0.055,-0.09699999999999999,-0.182,-0.124,-0.392,-0.605,"132,970","28,885","6,485",0.09970000000000001,0.1183,0.134,0.0942,0.1069,0.1096,0.0298,0.025,0.0349,0.026099999999999998,0.0152,0.0138
16,-0.055,-0.11900000000000001,-0.442,-0.002,-0.008,-0.025,"135,524","28,924","6,520",0.0885,0.09699999999999999,0.1152,0.0836,0.08539999999999999,0.0643,0.0317,0.0268,0.0139,0.0316,0.026600000000000002,0.013500000000000002
17,-0.053,-0.106,-0.145,-0.248,-0.7020000000000001,-0.9570000000000001,"148,403","29,757","6,458",0.16219999999999998,0.17739999999999997,0.3046,0.1535,0.1586,0.2606,0.0434,0.042800000000000005,0.056799999999999996,0.0327,0.0128,0.0024
18,-0.162,-0.225,-0.28,-0.201,-0.397,-0.56,"141,526","33,390","10,140",0.17739999999999997,0.22690000000000002,0.2784,0.14859999999999998,0.1757,0.2004,0.0481,0.051399999999999994,0.0275,0.0384,0.031,0.0121
19,-0.153,-0.19399999999999998,-0.225,-0.273,-0.53,-0.69,"150,024","36,757","11,018",0.1845,0.23879999999999998,0.3194,0.1563,0.1925,0.2477,0.0464,0.0489,0.0329,0.0338,0.023,0.0102
